date_collected,product_itemid,shopid,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,product_total_rating,stock,units_sold,shop_location
6/13/2021,7919342724,1083822,NKD Korean Fashion Erich Basic Daily Polo Tie Top 1104,300,135,138,55,No Brand,4504,3696,12815,4.89,134411,10154,"Taytay, Rizal"
6/13/2021,7140015494,130651949,OnlyYouth Classic knitted blouse korean top short sleeves,,149,149,0,No Brand,293,158,2189,4.9,84,336,"San Nicolas, Metro Manila"
6/13/2021,4843903203,55748694,SS Oversized Ringer Top Plus Size Korean Fashion Women Tops Basic Tee,200,75,75,63,No Brand,8184,15912,19575,4.77,7721,68171,"Taytay, Rizal"
6/13/2021,11405348262,396605392,Women's T-shirt Short Sleeve Collar with small daisy embroidery Korean Fashion 2021,391,294,294,25,No Brand,13,0,317,0,10799,0,Mainland China
6/13/2021,2553628745,55748694,SS Korean Tops Square Neck Fashion Blouse Semi Crop Top,300,55,55,82,No Brand,5999,11825,27205,4.72,3358,35672,"Taytay, Rizal"
6/13/2021,7217869256,1083822,NKD Korean Fashion Edith Plain X Back Basic Top 1052,150,63,63,58,No Brand,518,1544,1029,4.85,49297,4333,"Taytay, Rizal"
6/13/2021,3018638392,50582861,DIRECT SUPPLIER Korean Fashion Jade Plain Basic Cut Out Top 1054,150,58,58,61,No Brand,24,83,1105,4.98,8779,189,"Taytay, Rizal"
6/13/2021,5772767357,348906275,Korean style loose and comfortable long-sleeved top,603,423,423,30,No Brand,4,0,14,0,5244,1,"Makati City, Metro Manila"
6/13/2021,4838940464,55748694,SS Korean Crop Top Cinched Cut Garter Tops V Neck Blouse,150,58,64,61,No Brand,25389,19744,50978,4.77,34856,55528,"Taytay, Rizal"
6/13/2021,3216519312,1083822,NKD Korean Fashion Angel Printed Floral Puff Sleeves Ribbon Tie Top 1004,180,89,89,51,No Brand,528,1164,2535,4.87,8570,3226,"Taytay, Rizal"
6/13/2021,7758962170,64360491,korean fashion knitted blouse knitted top shortsleeve,300,80,80,73,No Brand,26,70,888,4.99,183,146,"Pasay City, Metro Manila"
6/13/2021,7956324829,36247807,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),200,79,79,61,No Brand,10210,8791,49518,4.67,320395,39881,"San Nicolas, Metro Manila"
6/13/2021,6717870027,1083822,NKD Korean Fashion Jade Plain Basic Cut Out Top 1054,150,58,58,61,No Brand,178,489,3595,4.93,8079,1169,"Taytay, Rizal"
6/13/2021,6258961926,64360491,korean fashion knitted blouse knitted top shortsleeve,300,99,99,67,No Brand,58,140,746,4.95,360,295,"Pasay City, Metro Manila"
6/13/2021,3500414278,55748694,SS Korean Overlap Top Ruffle Tops Women Fashion Top Wrap Around,300,79,92,74,No Brand,8590,10244,19033,4.79,3392,32179,"Taytay, Rizal"
6/13/2021,8812869286,46399675,MIKANA Korean Squareneck Knitted Top,200,55,55,73,No Brand,8689,9648,123851,4.83,10918,26879,"Pasig City, Metro Manila"
6/13/2021,9561220312,64360491,korean fashion knitted Round neck blouse top short sleeves,300,250,250,17,No Brand,19,4,669,5,90,24,"Pasay City, Metro Manila"
6/13/2021,5640404015,1083822,NKD Korean Fashion Sara Loose Trendy Top 58230,180,86,86,55,No Brand,344,660,2028,4.86,88828,1720,"Taytay, Rizal"
6/13/2021,2952422461,325618926,Chiffon Ruffled Square Collar Korean Tops Pearl Buttons Solid Color Versatile Slim-Fit Top,500,279,279,44,No Brand,167,16,6376,5,5802,27,Mainland China
6/13/2021,8358485297,449754824,【BTG】Striped Short-sleeved T-shirt Women's Slim Student Korean Style Top,376,188,188,50,No Brand,40,1,2549,5,1904,1,Mainland China
6/13/2021,9312209380,130651949,7-color Korean version elegant retro Polo knit V-neck slim short open navel Short Sleeve T-Shirt Top,200,149,169,26,No Brand,951,212,8033,4.89,609,485,"San Nicolas, Metro Manila"
6/13/2021,8154700018,64360491,korean fashion knitted Round neck blouse top short sleeve,300,245,245,18,No Brand,29,19,1584,4.84,136,85,"Pasay City, Metro Manila"
6/13/2021,7543788697,25717546,VIVENA Women's Korean Style Chic Pleated Short-sleeve w/ Buttons Knitted Top Open Blouses #1141,,259,259,0,No Brand,2245,643,3872,4.9,644,1318,"Santa Cruz, Metro Manila"
6/13/2021,6748102529,293797864,Bangkok Inspired Top - MJ Direct Supplier,199,158,195,21,No Brand,23721,5472,75378,4.87,552,19881,"Mandaluyong City, Metro Manila"
6/13/2021,3550379942,130651949,Knitted Tops Korean Blouse short Sleeves Simple Elegan,180,149,169,17,No Brand,3488,1603,19962,4.85,121,4323,"San Nicolas, Metro Manila"
6/13/2021,3737860883,55610731,Checkout link for live selling!✨ Korean polo blouses and Korean Shorts,,25,55,0,No Brand,3,51,131,4.9,2491,266,"Candon City, Ilocos Sur"
6/13/2021,6719338496,1083822,NKD Korean Fashion Jana Puff Sleeves Basic Top 1098,180,58,58,68,No Brand,867,1330,2147,4.78,68027,3309,"Taytay, Rizal"
