date_collected,shopid,Shop_name,item_count,shop_location,rating_star
6/13/2021,254711738,hello.may.ph,446,,4.81
6/13/2021,314198143,love.women.shop,263,"San Nicolas,Metro Manila",4.68
6/13/2021,10377223,R&O RedOrange,209,"Pasay City,Metro Manila",4.91
6/13/2021,21407329,patriciacai,165,"Binondo,Metro Manila",4.94
6/13/2021,11187885,Little Market Manila,467,"Caloocan City,Metro Manila",4.73
6/13/2021,430999411,Bellamy House,115,,5
6/13/2021,310915998,Yihua Women's Wear Hall,219,,4.87
6/13/2021,126018720,croptop korean top dress,1444,,4.8
6/13/2021,312874722,Shopping Center boutique,286,"San Nicolas,Metro Manila",4.7
6/13/2021,36754442,KathrynClothing,509,"Taytay,Rizal",4.76
6/13/2021,147240166,88jackshop,225,"Caloocan City,Metro Manila",4.65
6/13/2021,49777615,terno pants Infinity dress,360,"Tondo I / Ii,Metro Manila",4.76
6/13/2021,43841660,peterang.999,1517,"Tondo I / Ii,Metro Manila",4.89
6/13/2021,64909141,ikon Bra Dress Crop top,3630,,4.77
6/13/2021,55610731,Mark & Markuz,16,"Candon City,Ilocos Sur",4.92
6/13/2021,40071360,IELGY Women's,3838,,4.66
6/13/2021,36365595,korean terno dress,364,"Binondo,Metro Manila",4.46
6/13/2021,20477406,PinSan UnderWear,215,"Binondo,Metro Manila",4.81
6/13/2021,285493266,HMFO Clo.,34,"Cainta,Rizal",4.89
6/13/2021,136836256,GraBeYan PH,118,"Pasay City,Metro Manila",4.88
6/13/2021,29167960,BSCO SENIORITAS,229,"San Pablo City,Laguna",4.91
6/13/2021,298717077,Men's & Women's Clothing Store,77,,4.59
6/13/2021,365155177,inza-Korean Top & Dress,252,,4.87
6/13/2021,418672464,xuxixi,220,,4.91
6/13/2021,311832009,ItStyle PH,10,"San Mateo,Rizal",4.9
6/13/2021,12280641,R Squared PH,104,"Taytay,Rizal",4.84
6/13/2021,377783794,Urban Fashion Hub,169,"Tondo I / Ii,Metro Manila",4.84
6/13/2021,140345020,Empresas rtw,111,"Binan City,Laguna",4.51
6/13/2021,446245515,DuoDUO Apparel Store,128,,4.27
6/13/2021,326225532,Duolin Apparel Store,247,,4.9
6/13/2021,207276020,sweetcandyapparel,137,"Quezon City,Metro Manila",4.9
6/13/2021,277581138,John see way's shop.ph,426,,4.79
6/13/2021,17325060,joymarcelo_rtwclothing,1117,"San Mateo,Rizal",4.83
6/13/2021,262892165,Ano Hanap?,132,"Quezon City,Metro Manila",4.87
6/13/2021,19100527,Mumu,293,"Valenzuela City,Metro Manila",4.89
6/13/2021,299396535,Pretty Comy Women Fashion,550,,4.88
6/13/2021,318520270,Essentiel Manila,261,"Angono,Rizal",4.88
6/13/2021,149749719,BSCO® PH,1096,"Sampaloc,Metro Manila",4.81
6/13/2021,10615128,Hex Manila,230,"Pasig City,Metro Manila",4.54
6/13/2021,52314109,Ja8thy Clothing Shop,276,"Taytay,Rizal",4.83
6/13/2021,276428558,cottonandbuttons,47,"Taytay,Rizal",4.85
6/13/2021,39345649,HESTIA  CLOSET 🌸,35,"Navotas City,Metro Manila",4.84
6/13/2021,41311013,BuyMorePh,346,"Pasig City,Metro Manila",4.49
6/13/2021,31488555,WPFashionBRA,397,"San Nicolas,Metro Manila",4.83
6/13/2021,281266301,clothingpalette.10,68,"Taytay,Rizal",4.92
6/13/2021,290377398,flowershower.ph,1103,,4.88
6/13/2021,275875058,small__tomato.ph,495,,4.73
6/13/2021,64909636,Women T-shirts & Korean Top,1306,,4.7
6/13/2021,287789175,libin888.ph,278,,4.71
6/13/2021,262845064,weabbyph.ph,378,,4.83
6/13/2021,59595030,LUSMAY,854,,4.72
6/13/2021,174274877,Fashion& Girl,330,"Valenzuela City,Metro Manila",4.69
6/13/2021,62651467,shoppingaddicts,1975,,4.68
6/13/2021,199847719,cooperneo.ph--women fashion,271,,4.61
6/13/2021,29808441,ELfille 2.0,128,"Marikina City,Metro Manila",4.93
6/13/2021,289787386,trendybestshops,82,"Pasay City,Metro Manila",4.81
6/13/2021,177084026,Maj's Collection,40,"Dasmarinas City,Cavite",4.95
6/13/2021,11314636,Lush Tiangge RTW Supplier,189,"Taytay,Rizal",4.88
6/13/2021,417317962,MEIMEITALL,472,,4.81
6/13/2021,328923168,Women's Top,101,"Makati City,Metro Manila",4.75
6/13/2021,141535018,Diya Stand,305,"San Nicolas,Metro Manila",4.87
6/13/2021,274192652,Kate's Corner,54,"Santo Tomas,Batangas",4.88
6/13/2021,44323965,Ukay Distributor PH,53,"Cainta,Rizal",5
6/13/2021,244604039,Cherry'sBeauty,848,,4.81
6/13/2021,86525247,samgartrading,173,"Pasig City,Metro Manila",4.72
6/13/2021,68266356,DRESS CASUAL,724,"Binondo,Metro Manila",4.83
6/13/2021,74965889,its.la.mode,14,"Cainta,Rizal",4.9
6/13/2021,273590933,Korean. House,619,,4.68
6/13/2021,271800741,1989minishop,120,"Pasay City,Metro Manila",4.79
6/13/2021,67752782,Lucky shopping,560,"Paranaque City,Metro Manila",4.65
6/13/2021,331790042,Crop Top & Korean Top,681,,4.85
6/13/2021,401079546,Huidong,22,"Sampaloc,Metro Manila",4.78
6/13/2021,352470129,Chichi_,82,"Antipolo City,Rizal",4.86
